,Year,Month,Week,Total Weekly Gross,Show Title,Theatre,Avg. Ticket Price,Seats Sold,Seats in Theatre
16402,2000,January,31,285367.0,Amadeus,Music Box Theatre,51.63,5527,993
16403,2000,January,31,607597.0,Annie Get Your Gun,Marquis Theatre,60.6,10026,1595
16404,2000,January,31,737518.0,Beauty and the Beast,Lunt-Fontanne Theatre,66.44,11101,1474
16405,2000,January,31,518476.0,Cabaret,Studio 54,73.08,7095,920
16406,2000,January,31,514784.0,Cats,Winter Garden Theatre,55.13,9338,1482
16407,2000,January,31,656076.0,Chicago,Ambassador Theatre,63.11,10395,1460
16408,2000,January,31,289128.0,Dame Edna: The Royal Tour,Booth Theatre,57.33,5043,765
16409,2000,January,31,476210.0,Footloose,Richard Rodgers Theatre,56.2,8474,1348
16410,2000,January,31,632067.0,Fosse,Broadhurst Theatre,73.73,8573,1141
16411,2000,January,31,148441.0,It Ain't Nothin' But the Blues,Ambassador Theatre,47.59,3119,1100
16412,2000,January,31,276001.0,James Joyce's The Dead,Belasco Theatre,50.76,5437,996
16413,2000,January,31,411063.0,Jekyll & Hyde,Plymouth Theatre,60.89,6751,1064
16414,2000,January,31,211530.0,Kat and the Kings,Cort Theatre,38.69,5467,1084
16415,2000,January,31,766825.0,"Kiss Me, Kate",Martin Beck Theatre,68.47,11199,1422
16416,2000,January,31,626638.0,Les Miserables,Imperial Theatre,63.84,9815,1417
16417,2000,January,31,301076.0,Marie Christine,Vivian Beaumont Theater,50.47,5965,1068
16418,2000,January,31,630503.0,Minnelli on Minnelli,Palace Theatre,85.85,7344,1743
16419,2000,January,31,492770.0,Miss Saigon,Broadway Theatre,54.08,9112,1743
16420,2000,January,31,35201.0,"Morning, Noon and Night",Vivian Beaumont Theater,37.29,944,1068
16421,2000,January,31,172011.0,Much Ado About Everything,John Golden Theatre,53.64,3207,578
16422,2000,January,31,237815.0,Putting It Together,Ethel Barrymore Theatre,60.39,3938,1096
16423,2000,January,31,624188.0,Ragtime,Ford Center for the Performing Arts,54.04,11550,1812
16424,2000,January,31,575779.0,Rent,Nederlander Theatre,60.95,9447,1181
16425,2000,January,31,902194.0,Saturday Night Fever,Minskoff Theatre,74.55,12102,1686
16426,2000,January,31,241431.0,Smokey Joe's Cafe,Virginia Theatre,58.16,4151,1212
16427,2000,January,31,397189.0,Swing!,St. James Theatre,53.29,7453,1710
16428,2000,January,31,243743.0,Tango Argentino,Gershwin Theatre,45.53,5353,1933
16429,2000,January,31,1073188.0,The Lion King,Minskoff Theatre,73.97,14509,1793
16430,2000,January,31,916885.0,The Phantom of the Opera,Majestic Theatre,74.01,12388,1607
16431,2000,January,31,146395.0,The Price,Royale Theatre,46.56,3144,1078
16432,2000,January,31,147501.0,The Rainmaker,Brooks Atkinson Theatre,37.33,3951,998
16433,2000,January,31,356377.0,The Scarlet Pimpernel,Neil Simon Theatre,53.22,6696,1366
16434,2000,January,31,305700.0,Waiting in the Wings,Eugene O'Neill Theatre,63.69,4800,947
16435,2000,January,31,44842.0,Wrong Mountain,Eugene O'Neill Theatre,23.59,1901,1105
16436,2000,January,32,263308.0,Amadeus,Music Box Theatre,44.77,5881,993
16437,2000,January,32,463242.0,Annie Get Your Gun,Marquis Theatre,57.45,8063,1595
16438,2000,January,32,500210.0,Beauty and the Beast,Lunt-Fontanne Theatre,52.41,9545,1474
16439,2000,January,32,452756.0,Cabaret,Studio 54,66.87,6771,920
16440,2000,January,32,307890.0,Cats,Winter Garden Theatre,47.76,6447,1482
16441,2000,January,32,431218.0,Chicago,Ambassador Theatre,62.5,6899,1460
16442,2000,January,32,238414.0,Dame Edna: The Royal Tour,Booth Theatre,57.09,4176,765
16443,2000,January,32,306476.0,Footloose,Richard Rodgers Theatre,41.7,7350,1348
16444,2000,January,32,488995.0,Fosse,Broadhurst Theatre,71.27,6861,1141
16445,2000,January,32,133046.0,It Ain't Nothin' But the Blues,Ambassador Theatre,42.57,3125,1100
16446,2000,January,32,266863.0,James Joyce's The Dead,Belasco Theatre,51.22,5210,996
16447,2000,January,32,352775.0,Jekyll & Hyde,Plymouth Theatre,50.47,6990,1064
16448,2000,January,32,641268.0,"Kiss Me, Kate",Martin Beck Theatre,68.73,9330,1422
16449,2000,January,32,459070.0,Les Miserables,Imperial Theatre,43.9,10456,1417
16450,2000,January,32,319978.0,Marie Christine,Vivian Beaumont Theater,45.74,6995,1068
16451,2000,January,32,387784.0,Miss Saigon,Broadway Theatre,41.54,9335,1743
16452,2000,January,32,61588.0,"Morning, Noon and Night",Vivian Beaumont Theater,36.23,1700,1068
16453,2000,January,32,167645.0,Much Ado About Everything,John Golden Theatre,52.36,3202,578
16454,2000,January,32,303301.0,Putting It Together,Ethel Barrymore Theatre,56.97,5324,1096
16455,2000,January,32,589076.0,Ragtime,Ford Center for the Performing Arts,50.3,11712,1812
16456,2000,January,32,499660.0,Rent,Nederlander Theatre,54.3,9201,1181
