"","Theatre","Show","Type","Date","Year","Month","Avg_Attendance","Avg_Gross","Avg_Capacity"
"1","Music Box","Amadeus","Play","1/2/00",2000,1,5527,285367,70
"2","Marquis","Annie Get Your Gun","Musical","1/2/00",2000,1,10026,607597,79
"3","Lunt-Fontanne","Beauty And The Beast","Musical","1/2/00",2000,1,11101,737518,94
"4","Studio 54 ('98)","Cabaret 98","Musical","1/2/00",2000,1,7095,518476,96
"5","Winter Garden","Cats","Musical","1/2/00",2000,1,9338,514784,79
"6","Shubert","Chicago","Musical","1/2/00",2000,1,10395,656076,79
"7","Booth","Dame Edna: The Royal Tour","Play","1/2/00",2000,1,5043,289128,82
"8","Richard Rodgers","Footloose","Musical","1/2/00",2000,1,8474,476210,79
"9","Broadhurst","Fosse","Musical","1/2/00",2000,1,8573,632067,94
"10","Ambassador","It Ain'T Nothin' But The Blues","Musical","1/2/00",2000,1,3119,148441,41
"11","Golden","Jackie Mason: Much Ado About Everything","Play","1/2/00",2000,1,3207,172011,92
"12","Belasco","James Joyce'S The Dead","Musical","1/2/00",2000,1,5437,276001,68
"13","Plymouth","Jekyll & Hyde","Musical","1/2/00",2000,1,6751,411063,79
"14","Cort","Kat And The Kings","Musical","1/2/00",2000,1,5467,211530,63
"15","Martin Beck","Kiss Me, Kate","Musical","1/2/00",2000,1,11199,766825,98
"16","Imperial","Les Miserables","Musical","1/2/00",2000,1,9815,626638,87
"17","Vivian Beaumont","Marie Christine","Musical","1/2/00",2000,1,5965,301076,80
"18","Palace","Minnelli On Minnelli","Special","1/2/00",2000,1,7344,630503,70
"19","Broadway","Miss Saigon","Musical","1/2/00",2000,1,9112,492770,65
"20","Vivian Beaumont","Morning, Noon And Night","Special","1/2/00",2000,1,944,35201,88
"21","Ethel Barrymore","Putting It Together","Musical","1/2/00",2000,1,3938,237815,51
"22","Ford Center (Livent)","Ragtime","Musical","1/2/00",2000,1,11550,624188,80
"23","Nederlander","Rent","Musical","1/2/00",2000,1,9447,575779,100
"24","Minskoff","Saturday Night Fever","Musical","1/2/00",2000,1,12102,902194,90
"25","Virginia","Smokey Joe'S Cafe","Musical","1/2/00",2000,1,4151,241431,43
"26","St. James","Swing!","Musical","1/2/00",2000,1,7453,397189,54
"27","Gershwin","Tango Argentino '99","Musical","1/2/00",2000,1,5353,243743,35
"28","New Amsterdam","The Lion King","Musical","1/2/00",2000,1,14509,1073188,101
"29","Majestic","The Phantom Of The Opera","Musical","1/2/00",2000,1,12388,916885,96
"30","Royale","The Price 99","Play","1/2/00",2000,1,3144,146395,36
"31","Brooks Atkinson","The Rainmaker","Play","1/2/00",2000,1,3951,147501,79
"32","Neil Simon","The Scarlet Pimpernel","Musical","1/2/00",2000,1,6696,356377,61
"33","Walter Kerr","Waiting In The Wings","Play","1/2/00",2000,1,4800,305700,63
"34","Eugene O'Neill","Wrong Mountain","Play","1/2/00",2000,1,1901,44842,25
"35","Music Box","Amadeus","Play","1/9/00",2000,1,5881,263308,74
"36","Marquis","Annie Get Your Gun","Musical","1/9/00",2000,1,8063,463242,63
"37","Lunt-Fontanne","Beauty And The Beast","Musical","1/9/00",2000,1,9545,500210,81
"38","Studio 54 ('98)","Cabaret 98","Musical","1/9/00",2000,1,6771,452756,92
"39","Winter Garden","Cats","Musical","1/9/00",2000,1,6447,307890,54
"40","Shubert","Chicago","Musical","1/9/00",2000,1,6899,431218,59
"41","Booth","Dame Edna: The Royal Tour","Play","1/9/00",2000,1,4176,238414,68
"42","Richard Rodgers","Footloose","Musical","1/9/00",2000,1,7350,306476,68
"43","Broadhurst","Fosse","Musical","1/9/00",2000,1,6861,488995,75
"44","Ambassador","It Ain'T Nothin' But The Blues","Musical","1/9/00",2000,1,3125,133046,36
"45","Golden","Jackie Mason: Much Ado About Everything","Play","1/9/00",2000,1,3202,167645,92
"46","Belasco","James Joyce'S The Dead","Musical","1/9/00",2000,1,5210,266863,65
"47","Plymouth","Jekyll & Hyde","Musical","1/9/00",2000,1,6990,352775,82
"48","Martin Beck","Kiss Me, Kate","Musical","1/9/00",2000,1,9330,641268,82
"49","Imperial","Les Miserables","Musical","1/9/00",2000,1,10456,459070,92
"50","Vivian Beaumont","Marie Christine","Musical","1/9/00",2000,1,6995,319978,82
"51","Broadway","Miss Saigon","Musical","1/9/00",2000,1,9335,387784,67
"52","Vivian Beaumont","Morning, Noon And Night","Special","1/9/00",2000,1,1700,61588,80
"53","Ethel Barrymore","Putting It Together","Musical","1/9/00",2000,1,5324,303301,61
"54","Ford Center (Livent)","Ragtime","Musical","1/9/00",2000,1,11712,589076,81
"55","Nederlander","Rent","Musical","1/9/00",2000,1,9201,499660,97
"56","Minskoff","Saturday Night Fever","Musical","1/9/00",2000,1,11225,694749,83
"57","Virginia","Smokey Joe'S Cafe","Musical","1/9/00",2000,1,5161,264059,53
"58","St. James","Swing!","Musical","1/9/00",2000,1,8598,344465,63
"59","Gershwin","Tango Argentino '99","Musical","1/9/00",2000,1,9030,324315,58
"60","New Amsterdam","The Lion King","Musical","1/9/00",2000,1,14508,927843,101
"61","Majestic","The Phantom Of The Opera","Musical","1/9/00",2000,1,9785,614725,76
"62","Royale","The Price 99","Play","1/9/00",2000,1,4406,159494,51
"63","Brooks Atkinson","The Rainmaker","Play","1/9/00",2000,1,6353,249475,80
"64","Walter Kerr","Waiting In The Wings","Play","1/9/00",2000,1,4407,272115,58
"65","Eugene O'Neill","Wrong Mountain","Play","1/9/00",2000,1,2727,65893,31
"66","Music Box","Amadeus","Play","1/16/00",2000,1,6422,289351,81
"67","Marquis","Annie Get Your Gun","Musical","1/16/00",2000,1,8637,507967,68
"68","Lunt-Fontanne","Beauty And The Beast","Musical","1/16/00",2000,1,10172,542212,86
"69","Studio 54 ('98)","Cabaret 98","Musical","1/16/00",2000,1,6915,440265,94
"70","Winter Garden","Cats","Musical","1/16/00",2000,1,7328,310988,62
"71","Shubert","Chicago","Musical","1/16/00",2000,1,8160,510398,70
"72","Booth","Dame Edna: The Royal Tour","Play","1/16/00",2000,1,4611,263583,75
"73","Richard Rodgers","Footloose","Musical","1/16/00",2000,1,9430,378301,87
"74","Broadhurst","Fosse","Musical","1/16/00",2000,1,7734,534714,85
"75","Golden","Jackie Mason: Much Ado About Everything","Play","1/16/00",2000,1,3457,169280,100
"76","Belasco","James Joyce'S The Dead","Musical","1/16/00",2000,1,5576,286756,70
"77","Plymouth","Jekyll & Hyde","Musical","1/16/00",2000,1,7015,373556,82
"78","Martin Beck","Kiss Me, Kate","Musical","1/16/00",2000,1,9548,650388,84
"79","Imperial","Les Miserables","Musical","1/16/00",2000,1,9619,458927,85
"80","Broadway","Miss Saigon","Musical","1/16/00",2000,1,8686,379091,62
"81","Ethel Barrymore","Putting It Together","Musical","1/16/00",2000,1,5947,334657,68
"82","Ford Center (Livent)","Ragtime","Musical","1/16/00",2000,1,12544,661156,87
"83","Nederlander","Rent","Musical","1/16/00",2000,1,8668,486611,92
"84","Minskoff","Saturday Night Fever","Musical","1/16/00",2000,1,11560,724948,86
"85","Virginia","Smokey Joe'S Cafe","Musical","1/16/00",2000,1,6211,352715,64
"86","St. James","Swing!","Musical","1/16/00",2000,1,9348,394888,68
"87","New Amsterdam","The Lion King","Musical","1/16/00",2000,1,14513,929752,101
"88","Majestic","The Phantom Of The Opera","Musical","1/16/00",2000,1,9817,548217,76
"89","Royale","The Price 99","Play","1/16/00",2000,1,5922,185960,69
"90","Brooks Atkinson","The Rainmaker","Play","1/16/00",2000,1,6769,260783,85
"91","Walter Kerr","Waiting In The Wings","Play","1/16/00",2000,1,5687,330665,75
"92","Eugene O'Neill","Wrong Mountain","Play","1/16/00",2000,1,2333,61051,26
