"","Theatre","Year","Show","Month","Capacity","Attendance","Gross"
"1","Al Hirschfeld",2003,"Man Of La Mancha 02",6,82,9365,564743
"2","Al Hirschfeld",2003,"Man Of La Mancha 02",7,77.75,8819,486281
"3","Al Hirschfeld",2003,"Man Of La Mancha 02",8,87.4,9979.6,596485.2
"4","Al Hirschfeld",2003,"Wonderful Town",11,50.5,4646.25,266265.5
"5","Al Hirschfeld",2003,"Wonderful Town",12,83.25,9559.75,631999.25
"6","Al Hirschfeld",2004,"Wonderful Town",1,63.25,7307,567392.25
"7","Al Hirschfeld",2004,"Wonderful Town",2,59.2,6790.6,493827.4
"8","Al Hirschfeld",2004,"Wonderful Town",3,69,7942.25,525669.5
"9","Al Hirschfeld",2004,"Wonderful Town",4,58,6653.5,464748.5
"10","Al Hirschfeld",2004,"Wonderful Town",5,52.6,6036.8,401535.2
"11","Al Hirschfeld",2004,"Wonderful Town",6,59.25,6795.5,433751.75
"12","Al Hirschfeld",2004,"Wonderful Town",7,56,6461.25,380118.25
"13","Al Hirschfeld",2004,"Wonderful Town",8,52.8,6082.8,361743.6
"14","Al Hirschfeld",2004,"Wonderful Town",9,45,5180.5,310059.5
"15","Al Hirschfeld",2004,"Wonderful Town",10,63.6,7306.2,451750
"16","Al Hirschfeld",2004,"Wonderful Town",11,72.75,8360.75,555932.5
"17","Al Hirschfeld",2004,"Wonderful Town",12,65.5,7516,535940
"18","Al Hirschfeld",2005,"Sweet Charity 05",4,58,6591,356518
"19","Al Hirschfeld",2005,"Sweet Charity 05",5,74.6,8482.6,529146.8
"20","Al Hirschfeld",2005,"Sweet Charity 05",6,68.5,7768.25,515820
"21","Al Hirschfeld",2005,"Sweet Charity 05",7,69.8,7932.8,507711.8
"22","Al Hirschfeld",2005,"Sweet Charity 05",8,63.75,7271.75,462984.25
"23","Al Hirschfeld",2005,"Sweet Charity 05",9,63.75,7248.25,418030.25
"24","Al Hirschfeld",2005,"Sweet Charity 05",10,77.8,8840,506098.4
"25","Al Hirschfeld",2005,"Sweet Charity 05",11,64,7269.75,459114.5
"26","Al Hirschfeld",2005,"Sweet Charity 05",12,72.25,8008.75,491010.75
"27","Al Hirschfeld",2005,"Wonderful Town",1,64.2,7380.8,519693.2
"28","Al Hirschfeld",2006,"Sweet Charity 05",1,80,10288,838097
"29","Al Hirschfeld",2006,"The Wedding Singer",4,68.6,6288.6,383373
"30","Al Hirschfeld",2006,"The Wedding Singer",5,67.5,7666.75,498076.5
"31","Al Hirschfeld",2006,"The Wedding Singer",6,74.75,8486.25,580733
"32","Al Hirschfeld",2006,"The Wedding Singer",7,75.6,8619.6,587028.6
"33","Al Hirschfeld",2006,"The Wedding Singer",8,62,7047.5,491138.75
"34","Al Hirschfeld",2006,"The Wedding Singer",9,64.25,7293,459162.75
"35","Al Hirschfeld",2006,"The Wedding Singer",10,71,8075.6,526808.8
"36","Al Hirschfeld",2006,"The Wedding Singer",11,61.25,6985.75,460650.75
"37","Al Hirschfeld",2006,"The Wedding Singer",12,64,7355.4,510129
"38","Al Hirschfeld",2007,"Curtains",3,74.75,8280.25,586559.75
"39","Al Hirschfeld",2007,"Curtains",4,88.8,10108.4,796803.8
"40","Al Hirschfeld",2007,"Curtains",5,85.75,9772.5,780167.75
"41","Al Hirschfeld",2007,"Curtains",6,86,9777.25,780181
"42","Al Hirschfeld",2007,"Curtains",7,92.8,10570.8,800921.6
"43","Al Hirschfeld",2007,"Curtains",8,93,10584.25,792806
"44","Al Hirschfeld",2007,"Curtains",9,82.8,9418.2,722762
"45","Al Hirschfeld",2007,"Curtains",10,82.5,9392.25,728802.5
"46","Al Hirschfeld",2007,"Curtains",11,70,6420.5,479361.5
"47","Al Hirschfeld",2007,"Curtains",12,69.8,7310,622625.6
"48","Al Hirschfeld",2008,"A Tale Of Two Cities",8,71.5,6615,388281.5
"49","Al Hirschfeld",2008,"A Tale Of Two Cities",9,60.75,6865.75,388945.25
"50","Al Hirschfeld",2008,"A Tale Of Two Cities",10,58,6603.75,421333.5
"51","Al Hirschfeld",2008,"A Tale Of Two Cities",11,45.5,5164,318912
"52","Al Hirschfeld",2008,"Curtains",1,63.75,7224,508737.25
"53","Al Hirschfeld",2008,"Curtains",2,62.75,7140.25,491219
"54","Al Hirschfeld",2008,"Curtains",3,76,8649.8,589044.6
"55","Al Hirschfeld",2008,"Curtains",4,63.75,7252,501492.75
"56","Al Hirschfeld",2008,"Curtains",5,64.75,7375.5,521171.25
"57","Al Hirschfeld",2008,"Curtains",6,56.6,6427,448861.6
"58","Al Hirschfeld",2009,"Hair",3,88,9040.75,584206
"59","Al Hirschfeld",2009,"Hair",4,94.75,10430.75,780274.5
"60","Al Hirschfeld",2009,"Hair",5,95.2,10773,871910.2
"61","Al Hirschfeld",2009,"Hair",6,98.5,11117,1053209
"62","Al Hirschfeld",2009,"Hair",7,99.75,11265.25,1068787
"63","Al Hirschfeld",2009,"Hair",8,99.2,11214.8,1072718
"64","Al Hirschfeld",2009,"Hair",9,86,9717.5,845273.25
"65","Al Hirschfeld",2009,"Hair",10,82,9263.5,826747.75
"66","Al Hirschfeld",2009,"Hair",11,71.4,8052,719014.4
"67","Al Hirschfeld",2009,"Hair",12,65.75,7452.75,699805.25
"68","Al Hirschfeld",2010,"Elf",11,86,9782.75,868933.75
"69","Al Hirschfeld",2010,"Elf",12,92,10789.25,1378797.25
"70","Al Hirschfeld",2010,"Hair",1,72.4,8164.8,686216.8
"71","Al Hirschfeld",2010,"Hair",2,66.75,7513.75,558682.5
"72","Al Hirschfeld",2010,"Hair",3,63.25,7115,513021.75
"73","Al Hirschfeld",2010,"Hair",4,64.75,7314.25,539127.75
"74","Al Hirschfeld",2010,"Hair",5,55.2,6236.4,389724.4
"75","Al Hirschfeld",2010,"Hair",6,66.25,7471.75,499101.25
"76","Al Hirschfeld",2011,"Elf",1,96,9552,1344993
"77","Al Hirschfeld",2011,"How To Succeed In Business Without Really Trying '11",2,100,1426,162403
"78","Al Hirschfeld",2011,"How To Succeed In Business Without Really Trying '11",3,95.5,10252.75,780705
"79","Al Hirschfeld",2011,"How To Succeed In Business Without Really Trying '11",4,98.75,11232.5,1015010
"80","Al Hirschfeld",2011,"How To Succeed In Business Without Really Trying '11",5,96.8,11001.8,1008559.4
"81","Al Hirschfeld",2011,"How To Succeed In Business Without Really Trying '11",6,98.25,10788,1050731.5
"82","Al Hirschfeld",2011,"How To Succeed In Business Without Really Trying '11",7,100.6,10570.2,1101265.6
"83","Al Hirschfeld",2011,"How To Succeed In Business Without Really Trying '11",8,100,10346.25,1090865.25
"84","Al Hirschfeld",2011,"How To Succeed In Business Without Really Trying '11",9,81.75,9326.25,873221.5
"85","Al Hirschfeld",2011,"How To Succeed In Business Without Really Trying '11",10,88,10030.2,945775.4
"86","Al Hirschfeld",2011,"How To Succeed In Business Without Really Trying '11",11,87.5,9966.25,1013644.5
"87","Al Hirschfeld",2011,"How To Succeed In Business Without Really Trying '11",12,86.75,9541,1031475
"88","Al Hirschfeld",2012,"Elf '12",11,82.3333333333333,8441.33333333333,660264.666666667
"89","Al Hirschfeld",2012,"Elf '12",12,81.6,10227.2,1095887.2
"90","Al Hirschfeld",2012,"Fela! '12",7,60,6590.66666666667,297536
"91","Al Hirschfeld",2012,"Fela! '12",8,82,8969,568727
"92","Al Hirschfeld",2012,"How To Succeed In Business Without Really Trying '11",1,94.6,11058.6,1326099.4
